Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,53.954498,55.454498,53.636299,54.545399,54.473705,49721
2018-01-03,54.954498,55.227200,54.954498,54.545399,54.473705,11000
2018-01-04,55.245399,56.272701,53.863602,55.454498,55.381611,165910
2018-01-05,56.272701,56.272701,55.090900,55.454498,55.381611,28600
2018-01-08,55.090900,56.818100,55.090900,55.909000,55.835518,72507
2018-01-09,54.545399,55.454498,55.454498,55.454498,55.381611,52474
2018-01-10,53.697201,56.154499,53.697201,55.454498,55.381611,16223
2018-01-11,53.636299,54.090900,53.636299,55.000000,54.927711,13586
2018-01-12,52.727200,55.454498,52.727200,54.545399,54.473705,333368
2018-01-15,52.727200,56.136299,52.727200,55.000000,54.927711,104481
2018-01-16,55.454498,56.363602,53.636299,55.000000,54.927711,1121043
2018-01-17,53.636299,54.772701,52.727200,53.636299,53.565800,73722
2018-01-18,54.363602,54.363602,51.818100,53.181801,53.111900,73795
2018-01-19,54.000000,54.318100,52.727200,53.636299,53.565800,31497
2018-01-22,51.136299,54.545399,51.136299,53.181801,53.111900,183854
2018-01-23,53.257198,53.257198,51.818100,53.181801,53.111900,477394
2018-01-24,53.245399,55.000000,51.954498,54.090900,54.019806,80516
2018-01-25,53.545399,55.227200,53.545399,54.090900,54.019806,18658
2018-01-26,53.636299,54.000000,52.727200,54.090900,54.019806,186469
2018-01-29,52.727200,55.454498,52.727200,54.090900,54.019806,28795
2018-01-30,54.545399,55.454498,55.454498,55.454498,55.381611,128319
2018-01-31,55.681801,56.363602,53.636299,55.000000,54.927711,110988
2018-02-01,55.454498,56.363602,56.363602,56.363602,56.289516,67504
2018-02-02,57.272701,57.272701,55.000000,55.636299,55.563171,182122
2018-02-05,54.909000,56.090900,54.909000,55.000000,54.927711,149941
2018-02-06,52.727200,52.727200,52.727200,52.272701,52.203995,30066
2018-02-07,50.909000,53.636299,50.909000,52.272701,52.203995,87853
2018-02-08,53.545399,53.545399,51.727200,52.272701,52.203995,1108
2018-02-09,51.727200,52.727200,51.363602,52.272701,52.203995,298134
2018-02-12,52.727200,53.136299,52.000900,52.272701,52.203995,105462
2018-02-13,52.227200,51.818100,51.818100,51.818100,51.749992,18975
2018-02-14,53.636299,53.636299,52.272701,52.272701,52.203995,25712
2018-02-15,52.272701,52.272701,52.272701,52.272701,52.203995,0
2018-02-16,52.272701,52.272701,52.272701,52.272701,52.203995,1260
2018-02-19,52.272701,53.427200,52.272701,52.272701,52.203995,22531
2018-02-20,52.227200,52.227200,51.818100,52.272701,52.203995,64334
2018-02-21,51.954498,53.636299,51.954498,53.181801,53.111900,65457
2018-02-22,53.636299,55.318100,52.954498,54.090900,54.019806,17176
2018-02-23,55.318100,55.454498,53.181801,54.090900,54.019806,6195
2018-02-26,53.181801,57.272701,53.181801,56.363602,56.289516,35627
